filename,xmin,ymin,xmax,ymax,width,height,class
006735.jpg,40,24,402,490,444,500,dog
006735.jpg,83,2,258,430,444,500,person
006735.jpg,344,1,436,124,444,500,person
009406.jpg,19,20,489,266,500,283,car
008718.jpg,373,130,449,359,500,375,person
008718.jpg,355,159,374,199,500,375,person
008718.jpg,328,163,349,209,500,375,person
008718.jpg,1,4,348,375,500,375,train
000344.jpg,89,2,307,441,375,500,bottle
004644.jpg,1,26,186,260,500,333,dog
007365.jpg,12,46,82,151,500,332,boat
007365.jpg,298,101,323,147,500,332,boat
007365.jpg,174,83,200,151,500,332,boat
007365.jpg,239,104,263,143,500,332,boat
007365.jpg,263,100,295,143,500,332,boat
009348.jpg,145,90,363,209,500,375,aeroplane
001714.jpg,127,302,208,357,332,500,sheep
003103.jpg,33,64,328,186,361,226,car
005214.jpg,1,14,500,381,500,381,train
001072.jpg,80,213,418,309,500,386,sofa
001072.jpg,160,170,316,309,500,386,person
008730.jpg,160,207,436,284,500,375,boat
008730.jpg,213,176,277,199,500,375,boat
008730.jpg,341,187,465,230,500,375,boat
008730.jpg,138,129,203,208,500,375,boat
008730.jpg,1,166,55,200,500,375,boat
001066.jpg,390,83,460,153,500,329,person
001066.jpg,101,20,165,150,500,329,person
006709.jpg,113,146,181,223,500,375,person
006709.jpg,187,159,272,238,500,375,person
006709.jpg,394,110,500,252,500,375,person
007417.jpg,40,67,306,208,500,269,dog
007417.jpg,304,105,451,211,500,269,cat
007417.jpg,1,2,499,269,500,269,sofa
003671.jpg,135,6,358,323,500,333,dog
002209.jpg,72,72,500,500,500,500,sheep
005566.jpg,80,39,422,293,500,375,car
005566.jpg,209,8,253,36,500,375,car
005566.jpg,441,1,500,37,500,375,car
005566.jpg,309,5,329,21,500,375,car
003117.jpg,152,52,439,310,500,333,car
008042.jpg,75,138,500,364,500,375,sofa
008042.jpg,67,61,213,261,500,375,person
008042.jpg,125,69,170,126,500,375,head
008042.jpg,79,225,95,251,500,375,hand
008042.jpg,87,223,108,247,500,375,hand
008042.jpg,96,269,121,344,500,375,bottle
008042.jpg,116,268,135,334,500,375,bottle
008042.jpg,123,255,142,319,500,375,bottle
008042.jpg,145,259,171,326,500,375,bottle
008042.jpg,154,240,173,307,500,375,bottle
008042.jpg,104,247,119,272,500,375,bottle
008042.jpg,84,238,100,265,500,375,bottle
008042.jpg,64,233,81,263,500,375,bottle
008042.jpg,38,193,57,261,500,375,bottle
008042.jpg,33,232,53,264,500,375,bottle
008042.jpg,10,226,26,294,500,375,bottle
001847.jpg,32,245,246,351,500,370,boat
001847.jpg,73,170,470,357,500,370,boat
000581.jpg,140,184,272,292,500,332,sheep
003088.jpg,107,269,154,366,500,375,bottle
003088.jpg,69,65,330,375,500,375,person
003088.jpg,209,91,286,211,500,375,person
003936.jpg,34,202,190,259,500,330,car
006696.jpg,36,77,163,368,500,440,person
006696.jpg,291,160,358,261,500,440,person
006696.jpg,390,110,500,314,500,440,person
006696.jpg,406,286,457,360,500,440,chair
006696.jpg,424,311,485,393,500,440,chair
006696.jpg,440,349,500,440,500,440,chair
006696.jpg,1,326,454,439,500,440,diningtable
006682.jpg,307,74,499,373,500,375,person
006682.jpg,1,127,115,375,500,375,person
006682.jpg,116,50,314,371,500,375,person
004095.jpg,186,97,323,304,500,334,dog
002382.jpg,157,21,360,223,360,240,sofa
002382.jpg,3,65,354,221,360,240,person
002382.jpg,236,64,356,163,360,240,head
002382.jpg,148,97,190,132,360,240,hand
002382.jpg,124,133,166,175,360,240,hand
002382.jpg,60,83,214,213,360,240,person
002382.jpg,61,83,121,130,360,240,head
002382.jpg,147,100,166,116,360,240,hand
002382.jpg,167,191,200,214,360,240,foot
002382.jpg,194,160,215,182,360,240,foot
001853.jpg,202,63,343,286,500,375,bird
004903.jpg,37,126,374,301,500,331,sofa
004903.jpg,335,55,472,159,500,331,car
004903.jpg,440,95,500,247,500,331,car
004903.jpg,441,53,500,81,500,331,car
008687.jpg,2,2,415,262,500,375,dog
006866.jpg,221,44,331,218,480,392,person
006866.jpg,43,56,407,374,480,392,horse
006866.jpg,94,130,129,177,480,392,person
002355.jpg,1,141,34,230,500,375,car
002355.jpg,18,137,488,314,500,375,car
006133.jpg,87,79,422,283,500,333,car
006133.jpg,1,102,157,181,500,333,car
006133.jpg,472,109,500,158,500,333,car
006133.jpg,2,82,63,196,500,333,person
006133.jpg,455,96,485,174,500,333,person
006133.jpg,1,181,173,333,500,333,car
006133.jpg,465,125,500,333,500,333,person
006133.jpg,468,36,481,63,500,333,person
006133.jpg,390,39,405,62,500,333,person
006133.jpg,373,33,388,61,500,333,person
006133.jpg,358,38,373,57,500,333,person
006133.jpg,334,36,344,54,500,333,person
006133.jpg,263,33,276,52,500,333,person
006133.jpg,277,38,288,51,500,333,person
006133.jpg,294,40,301,54,500,333,person
006133.jpg,309,40,318,56,500,333,person
006133.jpg,447,40,459,61,500,333,person
009200.jpg,311,167,361,221,500,375,tvmonitor
009200.jpg,113,136,219,226,500,375,tvmonitor
009200.jpg,240,239,335,374,500,375,chair
009200.jpg,1,232,125,375,500,375,sofa
000224.jpg,36,159,220,337,500,375,tvmonitor
000224.jpg,401,245,500,375,500,375,bottle
009566.jpg,146,150,304,232,500,375,bird
002433.jpg,15,111,105,290,500,375,person
002433.jpg,1,103,328,375,500,375,person
002433.jpg,302,42,500,375,500,375,person
002433.jpg,479,52,500,184,500,375,person
002433.jpg,471,23,496,52,500,375,person
002427.jpg,161,143,261,228,320,240,sofa
002427.jpg,1,60,137,240,320,240,sofa
002427.jpg,253,181,320,240,320,240,pottedplant
005348.jpg,181,146,330,499,333,500,person
005348.jpg,1,24,215,499,333,500,person
006899.jpg,19,334,135,452,496,500,sheep
006899.jpg,135,305,234,423,496,500,sheep
006899.jpg,388,277,445,424,496,500,sheep
009214.jpg,180,114,314,226,500,375,bicycle
009214.jpg,146,223,468,375,500,375,car
009214.jpg,107,198,142,309,500,375,person
009214.jpg,72,206,103,308,500,375,person
009214.jpg,38,210,72,312,500,375,person
009214.jpg,466,188,500,286,500,375,person
009214.jpg,1,212,20,313,500,375,person
009214.jpg,140,218,159,255,500,375,person
009214.jpg,163,209,177,238,500,375,person
009214.jpg,184,205,204,225,500,375,person
009214.jpg,226,82,311,194,500,375,person
008122.jpg,58,42,227,330,500,333,person
008122.jpg,147,41,187,85,500,333,head
008122.jpg,205,220,224,236,500,333,hand
008122.jpg,59,183,86,210,500,333,hand
008122.jpg,274,61,406,206,500,333,person
008122.jpg,279,60,322,108,500,333,head
008122.jpg,293,194,306,211,500,333,hand
008122.jpg,4,209,115,296,500,333,diningtable
008122.jpg,3,213,47,330,500,333,chair
008122.jpg,48,199,109,332,500,333,chair
008122.jpg,275,152,320,223,500,333,chair
007211.jpg,153,173,394,371,500,375,motorbike
003077.jpg,81,163,239,269,500,332,sofa
003077.jpg,323,151,441,252,500,332,chair
003077.jpg,250,155,344,254,500,332,chair
003077.jpg,73,139,156,289,500,332,person
003077.jpg,153,142,237,285,500,332,person
003077.jpg,244,127,321,266,500,332,person
003077.jpg,352,134,435,262,500,332,person
004718.jpg,1,1,49,102,500,375,bottle
004718.jpg,95,7,340,341,500,375,person
004718.jpg,45,1,499,374,500,375,person
005406.jpg,172,126,235,187,500,333,aeroplane
002369.jpg,138,135,215,232,500,375,cow
005360.jpg,72,97,431,242,500,335,train
005360.jpg,1,137,71,226,500,335,train
003711.jpg,132,278,166,329,500,396,car
003711.jpg,162,86,469,344,500,396,bus
003711.jpg,269,129,294,156,500,396,person
003711.jpg,228,128,248,154,500,396,person
003711.jpg,200,127,225,154,500,396,person
003711.jpg,340,173,352,209,500,396,person
003711.jpg,352,177,367,210,500,396,person
003711.jpg,366,177,380,212,500,396,person
000218.jpg,253,64,383,255,500,333,dog
000218.jpg,107,1,202,174,500,333,chair
000218.jpg,1,1,253,222,500,333,person
008644.jpg,9,52,132,329,500,350,person
008644.jpg,128,43,246,337,500,350,person
008644.jpg,419,7,492,345,500,350,person
008644.jpg,337,78,423,342,500,350,person
008644.jpg,231,49,333,339,500,350,person
001106.jpg,102,160,240,327,500,375,chair
001106.jpg,295,158,389,319,500,375,chair
001106.jpg,339,174,465,363,500,375,chair
001106.jpg,363,149,445,258,500,375,chair
001106.jpg,337,179,500,319,500,375,diningtable
007563.jpg,84,172,234,499,375,500,person
007563.jpg,208,178,326,500,375,500,person
001112.jpg,323,87,406,214,500,335,train
001112.jpg,61,168,125,202,500,335,car
001112.jpg,95,165,140,194,500,335,car
001112.jpg,181,279,261,335,500,335,pottedplant
001112.jpg,259,299,350,335,500,335,pottedplant
008888.jpg,183,92,250,159,500,375,tvmonitor
008888.jpg,235,142,412,373,500,375,chair
008888.jpg,1,181,63,345,500,375,chair
005374.jpg,290,147,361,325,500,374,person
005374.jpg,211,136,255,262,500,374,person
005374.jpg,215,153,258,262,500,374,person
005374.jpg,187,2,500,347,500,374,bus
003705.jpg,196,100,270,176,500,375,sheep
003063.jpg,54,9,291,485,375,500,person
003063.jpg,3,43,372,386,375,500,sofa
007205.jpg,130,149,201,220,500,375,car
007205.jpg,200,170,223,195,500,375,car
007205.jpg,10,188,141,325,500,375,car
004283.jpg,153,1,375,499,375,500,motorbike
002194.jpg,294,188,391,300,500,333,chair
002194.jpg,81,107,155,278,500,333,person
002194.jpg,96,109,126,159,500,333,head
002194.jpg,135,246,155,269,500,333,hand
002194.jpg,127,117,177,283,500,333,person
002194.jpg,127,177,140,193,500,333,hand
002194.jpg,134,118,162,161,500,333,head
002194.jpg,295,126,464,305,500,333,person
002194.jpg,300,127,327,161,500,333,head
002194.jpg,344,145,361,165,500,333,hand
002194.jpg,377,144,464,268,500,333,person
002194.jpg,397,204,415,218,500,333,hand
002194.jpg,435,166,447,176,500,333,hand
002194.jpg,408,145,430,171,500,333,head
000797.jpg,37,127,348,375,500,375,dog
000797.jpg,68,94,424,370,500,375,person
000797.jpg,3,58,328,375,500,375,sofa
002180.jpg,98,89,476,375,500,375,train
002180.jpg,8,206,100,266,500,375,car
002180.jpg,1,205,47,276,500,375,car
002180.jpg,495,177,500,194,500,375,person
005189.jpg,139,45,500,404,500,405,person
005189.jpg,2,1,305,404,500,405,person
007946.jpg,309,162,330,190,500,375,person
007946.jpg,343,173,357,192,500,375,hand
007946.jpg,304,60,360,126,500,375,hand
007946.jpg,244,60,426,225,500,375,head
007946.jpg,118,111,309,252,500,375,dog
006480.jpg,119,110,210,155,500,320,aeroplane
002816.jpg,51,145,454,307,500,375,bus
008485.jpg,22,1,262,373,500,375,cat
008485.jpg,5,3,499,375,500,375,person
008485.jpg,182,4,469,216,500,375,head
008485.jpg,63,71,174,194,500,375,hand
008485.jpg,107,231,196,334,500,375,hand
000967.jpg,419,233,468,372,500,375,person
000967.jpg,148,222,205,375,500,375,person
000967.jpg,161,241,231,375,500,375,person
000967.jpg,12,223,39,330,500,375,person
000967.jpg,23,124,500,333,500,375,train
000973.jpg,30,51,488,331,500,375,bicycle
007991.jpg,3,99,500,375,500,375,bird
009764.jpg,242,131,482,340,500,375,bus
009764.jpg,31,86,242,352,500,375,bus
007749.jpg,128,23,500,375,500,375,dog
000026.jpg,90,125,337,212,500,333,car
000740.jpg,290,85,404,276,500,375,boat
000740.jpg,104,104,212,271,500,375,boat
009002.jpg,35,29,445,206,500,269,train
004526.jpg,104,74,436,239,500,375,car
004532.jpg,1,72,497,310,500,374,boat
000754.jpg,56,81,157,170,500,261,bus
000754.jpg,45,114,60,136,500,261,bus
000754.jpg,94,124,150,158,500,261,bicycle
000754.jpg,164,127,190,147,500,261,car
009016.jpg,184,3,334,452,375,500,bottle
006325.jpg,276,277,363,353,500,458,car
006443.jpg,117,131,295,216,500,350,aeroplane
000032.jpg,104,78,375,183,500,281,aeroplane
000032.jpg,133,88,197,123,500,281,aeroplane
000032.jpg,195,180,213,229,500,281,person
000032.jpg,26,189,44,238,500,281,person
002625.jpg,114,297,159,314,500,375,car
002625.jpg,42,294,88,313,500,375,car
002625.jpg,167,283,176,325,500,375,person
002625.jpg,107,288,116,313,500,375,person
002625.jpg,98,291,109,326,500,375,person
002625.jpg,84,285,100,335,500,375,person
002625.jpg,426,286,446,339,500,375,person
002625.jpg,36,287,43,315,500,375,person
001304.jpg,143,184,175,264,333,500,person
001304.jpg,142,225,174,288,333,500,bicycle
009758.jpg,294,147,436,201,500,332,diningtable
009758.jpg,302,133,363,151,500,332,diningtable
009758.jpg,146,140,244,175,500,332,diningtable
009758.jpg,122,125,174,146,500,332,diningtable
009758.jpg,14,133,113,179,500,332,diningtable
009758.jpg,82,186,349,331,500,332,diningtable
009758.jpg,452,149,489,195,500,332,chair
009758.jpg,381,173,442,250,500,332,chair
009758.jpg,332,194,386,300,500,332,chair
009758.jpg,279,158,338,209,500,332,chair
009758.jpg,387,136,408,156,500,332,chair
009758.jpg,268,127,295,166,500,332,chair
009758.jpg,246,138,256,151,500,332,chair
009758.jpg,216,151,257,182,500,332,chair
009758.jpg,181,128,203,140,500,332,chair
009758.jpg,114,146,146,181,500,332,chair
009758.jpg,43,145,92,182,500,332,chair
009758.jpg,1,166,38,209,500,332,chair
009758.jpg,4,200,104,323,500,332,chair
009758.jpg,150,284,311,332,500,332,chair
007775.jpg,45,89,248,284,378,500,dog
008320.jpg,1,8,245,198,250,198,horse
000768.jpg,369,103,475,283,500,375,bus
000768.jpg,33,46,369,330,500,375,bus
007007.jpg,112,203,291,374,500,374,person
007007.jpg,1,2,298,281,500,374,person
007007.jpg,242,188,500,374,500,374,diningtable
007007.jpg,385,117,498,199,500,374,diningtable
007007.jpg,198,79,217,129,500,374,bottle
006319.jpg,176,2,500,374,500,375,pottedplant
006319.jpg,1,1,85,156,500,375,pottedplant
003261.jpg,218,178,239,198,500,375,car
003261.jpg,1,1,206,374,500,375,person
003261.jpg,291,201,500,375,500,375,person
003261.jpg,1,1,205,375,500,375,person
005176.jpg,161,165,234,255,500,375,person
005176.jpg,1,46,274,375,500,375,person
005176.jpg,270,92,500,375,500,375,person
005176.jpg,449,212,500,375,500,375,person
001310.jpg,163,198,284,338,500,375,sheep
001310.jpg,263,90,381,326,500,375,person
001310.jpg,67,110,104,199,500,375,person
001310.jpg,19,132,43,166,500,375,person
001310.jpg,19,164,61,206,500,375,sheep
008452.jpg,157,172,374,295,500,369,sofa
008452.jpg,118,162,310,310,500,369,person
008452.jpg,272,164,296,192,500,369,head
008452.jpg,273,215,290,230,500,369,hand
008452.jpg,231,208,245,220,500,369,hand
008452.jpg,116,240,151,251,500,369,foot
008452.jpg,214,291,232,314,500,369,foot
003260.jpg,261,111,326,198,326,500,tvmonitor
003260.jpg,11,58,112,449,326,500,person
003260.jpg,118,76,201,431,326,500,person
003260.jpg,187,72,261,425,326,500,person
005611.jpg,93,53,343,319,480,369,horse
005611.jpg,163,22,266,199,480,369,person
006318.jpg,234,130,360,309,500,375,cat
008335.jpg,89,35,298,307,500,334,train
007006.jpg,2,191,499,374,500,375,diningtable
007006.jpg,145,247,294,374,500,375,chair
007006.jpg,278,233,390,375,500,375,chair
007006.jpg,368,219,494,371,500,375,chair
007006.jpg,75,191,146,249,500,375,chair
007006.jpg,160,188,219,231,500,375,chair
007006.jpg,219,177,263,224,500,375,chair
007006.jpg,326,174,359,215,500,375,chair
007006.jpg,373,171,403,207,500,375,chair
007006.jpg,411,174,433,199,500,375,chair
008453.jpg,281,105,340,152,500,400,cat
008453.jpg,72,91,238,359,500,400,person
008453.jpg,126,92,192,200,500,400,head
008453.jpg,143,257,173,282,500,400,hand
008453.jpg,113,272,157,292,500,400,hand
008453.jpg,225,1,500,362,500,400,chair
007760.jpg,94,252,272,500,333,500,dog
007760.jpg,2,4,330,500,333,500,person
007760.jpg,20,14,196,254,333,500,head
007760.jpg,223,349,298,432,333,500,hand
001311.jpg,465,104,490,166,500,319,bicycle
001311.jpg,432,118,465,186,500,319,bicycle
001311.jpg,334,128,380,220,500,319,bicycle
001311.jpg,177,188,304,319,500,319,bicycle
001311.jpg,12,161,181,319,500,319,bicycle
001311.jpg,463,67,495,154,500,319,person
001311.jpg,431,75,468,171,500,319,person
001311.jpg,333,79,387,201,500,319,person
001311.jpg,187,106,291,293,500,319,person
001311.jpg,27,61,163,280,500,319,person
002618.jpg,17,20,483,343,500,384,sheep
005177.jpg,7,179,377,363,377,500,sofa
004269.jpg,1,64,279,332,500,332,person
004269.jpg,300,40,500,332,500,332,person
003506.jpg,63,42,261,287,500,332,pottedplant
001463.jpg,89,4,333,342,500,375,boat
001463.jpg,289,284,305,314,500,375,person
003274.jpg,148,77,298,239,500,375,dog
005605.jpg,209,138,289,205,500,375,tvmonitor
005605.jpg,381,223,500,362,500,375,chair
005605.jpg,344,313,500,375,500,375,chair
005605.jpg,1,258,77,375,500,375,sofa
005605.jpg,302,64,358,266,500,375,pottedplant
005605.jpg,91,204,128,266,500,375,pottedplant
005605.jpg,76,234,107,258,500,375,pottedplant
005605.jpg,68,184,104,222,500,375,pottedplant
005605.jpg,144,163,162,216,500,375,pottedplant
005605.jpg,104,171,140,215,500,375,pottedplant
005605.jpg,26,156,41,225,500,375,pottedplant
005605.jpg,358,153,421,244,500,375,chair
005605.jpg,350,145,397,170,500,375,tvmonitor
005605.jpg,323,193,356,265,500,375,pottedplant
005605.jpg,446,199,454,223,500,375,bottle
005605.jpg,453,200,461,220,500,375,bottle
005605.jpg,440,171,447,195,500,375,bottle
005605.jpg,447,171,454,194,500,375,bottle
005605.jpg,439,201,447,222,500,375,bottle
005605.jpg,436,147,443,170,500,375,bottle
005605.jpg,443,146,450,168,500,375,bottle
005605.jpg,450,147,457,167,500,375,bottle
005605.jpg,457,147,461,167,500,375,bottle
005605.jpg,453,170,458,194,500,375,bottle
000755.jpg,362,217,393,231,500,375,bicycle
000755.jpg,340,205,366,218,500,375,bicycle
000755.jpg,323,212,351,230,500,375,bicycle
000755.jpg,289,203,310,219,500,375,bicycle
000755.jpg,274,213,298,229,500,375,bicycle
000755.jpg,258,215,268,226,500,375,bicycle
000755.jpg,236,214,259,230,500,375,bicycle
000755.jpg,209,212,230,230,500,375,bicycle
000755.jpg,183,213,201,228,500,375,bicycle
000755.jpg,157,216,174,227,500,375,bicycle
000755.jpg,134,213,151,227,500,375,bicycle
000755.jpg,118,213,133,227,500,375,bicycle
000755.jpg,101,210,114,225,500,375,bicycle
000755.jpg,86,216,100,225,500,375,bicycle
000755.jpg,367,199,386,224,500,375,person
000755.jpg,340,190,358,213,500,375,person
